Frames,X Position (px),Y Position (px),Angle (deg)
486,47.25641025641025,39.33333333333333,39.77191808595553
487,47.5,40.0,40.10090754621224
488,47.5,40.5,40.451957590874585
489,47.5,40.0,40.10090754621224
490,46.5,39.5,40.34664841273162
491,46.0,39.733333333333334,40.819407432035554
492,46.42857142857143,39.8095238095238,40.61097216868798
493,46.5,39.0,39.98688624496419
494,44.5,40.5,42.3057157101439
495,43.74358974358974,41.33333333333333,43.377226319094746
496,44.42222222222222,41.42222222222222,42.99850280086159
497,45.44444444444444,40.166666666666664,41.4722782499898
498,44.19047619047619,42.0,43.54417754679163
499,45.0,42.375,43.27918516632713
500,46.577777777777776,42.42222222222222,42.32670791092963
501,47.42222222222222,40.577777777777776,40.55261514990951
502,46.577777777777776,40.42222222222222,40.952866773734556
503,45.577777777777776,41.42222222222222,42.26534516311302
504,46.577777777777776,39.42222222222222,40.2437098912248
505,45.96078431372548,39.09803921568627,40.38723414977057
506,45.0,40.0,41.6335393365702
507,43.8095238095238,41.0,43.102630430129864
508,44.375,40.0,42.03176597012828
509,43.64583333333333,40.5,42.85896624267758
510,43.64583333333333,41.5,43.55634539779508
511,45.0,42.5,43.36342295838329
512,46.22222222222222,41.22222222222222,41.72743877196795
513,45.5,39.64583333333333,41.06684210758573
514,45.0,41.266666666666666,42.52197617694909
515,45.25641025641025,41.33333333333333,42.40590359961523
516,46.25641025641025,40.666666666666664,41.32055900465069
517,45.77777777777777,39.77777777777778,40.98842239915543
518,44.666666666666664,40.416666666666664,42.14039364934463
519,44.577777777777776,39.577777777777776,41.599838027511865
520,45.5,39.0,40.60129464500447
521,45.0,39.266666666666666,41.107709826952195
522,44.060606060606055,40.39393939393939,42.51401568560814
523,45.64583333333333,39.5,40.87154563443583
524,45.55555555555556,38.833333333333336,40.44556862954471
525,44.77777777777777,39.77777777777778,41.615885422627855
526,44.577777777777776,40.577777777777776,42.31063018699243
527,44.77777777777777,41.22222222222222,42.63253053244248
528,45.5,40.64583333333333,41.77489376897444
529,44.77777777777777,41.22222222222222,42.63253053244248
530,45.577777777777776,41.577777777777776,42.37225691896903
531,45.64583333333333,41.5,42.27629211731219
532,45.577777777777776,40.577777777777776,41.67858999010227
533,45.0,41.375,42.59681170975954
534,45.42222222222222,41.42222222222222,42.36285657073823
535,46.733333333333334,40.0,40.56088385153146
536,45.5,39.5,40.96228937902288
537,44.5,40.5,42.3057157101439
538,45.42222222222222,40.42222222222222,41.66657987590725
539,46.577777777777776,39.42222222222222,40.2437098912248
540,46.19047619047619,38.57142857142857,39.86362150757227
541,44.74358974358974,39.666666666666664,41.55804549321834
542,44.42222222222222,39.577777777777776,41.69929642925957
543,46.19047619047619,38.57142857142857,39.86362150757227
544,44.5,39.5,41.59355624500528
545,44.577777777777776,40.577777777777776,42.31063018699243
546,46.5,40.5,41.05481377096244
547,46.77777777777777,39.22222222222222,39.97915367321128
548,44.577777777777776,39.577777777777776,41.599838027511865
549,44.5,39.64583333333333,41.69840622133304
550,45.577777777777776,38.577777777777776,40.24512315233121
551,45.5,38.64583333333333,40.34320729366828
552,43.577777777777776,40.42222222222222,42.84863049903734
553,45.166666666666664,42.44444444444444,43.22029789273707
554,47.19047619047619,42.0,41.669405234554134
555,46.577777777777776,41.42222222222222,41.647110103609904
556,46.0,42.0,42.397437797500196
557,45.577777777777776,42.577777777777776,43.050933605609465
558,46.627450980392155,38.78431372549019,39.75339347818984
559,44.577777777777776,39.42222222222222,41.48783928717278
560,43.64583333333333,40.5,42.85896624267758
561,45.354166666666664,41.5,42.45915808930505
562,46.666666666666664,41.25641025641025,41.478802717636405
563,45.42222222222222,41.42222222222222,42.36285657073823
564,46.166666666666664,42.44444444444444,42.59463215275105
565,47.5,42.354166666666664,41.72232404780973
566,47.64583333333333,41.5,41.056192387900914
567,46.64583333333333,40.5,40.96597734635509
568,47.354166666666664,42.5,41.9077319083892
569,47.833333333333336,41.55555555555556,40.98271597824726
570,47.833333333333336,40.55555555555556,40.29298939995924
571,47.0,40.625,40.83887944886327
572,46.5,41.64583333333333,41.84792110313596
573,46.0,39.5,40.652543092440325
574,45.5,38.64583333333333,40.34320729366828
575,44.354166666666664,39.5,41.68694795358138
576,44.354166666666664,41.5,43.09593982562656
577,44.64583333333333,41.5,42.90862877162373
578,45.5,41.0,42.02197934805025
579,44.5,41.64583333333333,43.10238174101924
580,46.42222222222222,42.42222222222222,42.42214097766025
581,47.5,41.5,41.14319901441016
582,47.333333333333336,40.583333333333336,40.60960078868549
583,45.5,39.5,40.96228937902288
584,46.577777777777776,39.577777777777776,40.35501333324217
585,47.5,39.5,39.746197248737744
586,47.5,39.5,39.746197248737744
587,46.5,39.5,40.34664841273162
588,45.8095238095238,39.0,40.409456814393984
589,46.22222222222222,38.77777777777778,39.9947099744804
590,45.666666666666664,38.74358974358974,40.311266008704855
591,45.0,38.733333333333334,40.71991927781322
592,45.0,38.733333333333334,40.71991927781322
593,45.6060606060606,38.93939393939394,40.49138234996136
